Year,Difference
1960,-3.9996292000000153
1961,-12.393725299999971
1962,15.738393900000005
1963,54.52557499999995
1964,144.0608398
1965,160.27357849999999
1966,119.12263970000004
1967,97.209788
1968,5.881532700000093
1969,12.845961799999941
1970,34.23409719999995
1971,35.05817699999989
1972,120.35915799999998
1973,207.72144600000001
1974,-197.09055500000022
1975,-237.7846340000001
1976,91.07423000000017
1977,583.084288
1978,730.0657210000004
1979,668.9502969999994
1980,772.2929910000003
1981,394.6989110000004
1982,56.132658999999876
1983,-1037.9761209999997
1984,-1020.0914250000005
1985,-458.79321999999956
1986,635.0688919999993
1987,1532.3614630000002
1988,1695.3044139999984
1989,1703.209789999999
1990,1623.87529
1991,963.5445400000008
1992,1840.2283200000002
1993,2105.4320800000023
1994,950.1202000000012
1995,-1417.4586199999976
1996,-1414.56394
1997,954.2279899999994
1998,3979.5872100000015
1999,3295.0292100000006
2000,1903.9339199999995
2001,3530.636599999998
2002,2505.9988599999997
2003,246.78939999999784
2004,-2679.9796400000014
2005,-3311.6795600000005
2006,-5544.357659999998
2007,-8838.934849999998
2008,-8493.042840000002
2009,-8229.267049999995
2010,-14686.546590000002
2011,-18748.969099999995
2012,-18816.759110000006
2013,-18563.64808
2014,-17249.428359999998
2015,-13213.444889999999
2016,-13161.46024
2017,-15004.46757
2018,-18298.955109999995
