Year,Hong Kong,Singapore
1960,424.0565542,428.0561834
1961,436.7544115,449.1481368
1962,487.8211341,472.0827402
1963,565.7278104,511.2022354
1964,629.5915258,485.530686
1965,676.8055071,516.5319286
1966,685.9266141,566.8039744
1967,723.2392256,626.0294376
1968,714.4829696,708.6014369
1969,825.5234491,812.6774873
1970,960.0319615,925.7978643
1971,1106.469717,1071.41154
1972,1384.734265,1264.375107
1973,1893.181242,1685.459796
1974,2144.614959,2341.705514
1975,2252.126941,2489.911575
1976,2850.01461,2758.94038
1977,3429.420276,2846.335988
1978,3923.971378,3193.905657
1979,4569.48385,3900.533553
1980,5700.432109,4928.139118
1981,5991.284888,5596.585977
1982,6133.7669,6077.634241
1983,5595.260553,6633.236674
1984,6208.226159,7228.317584
1985,6542.973528,7001.766748
1986,7434.999255,6799.930363
1987,9071.390765,7539.029302
1988,10609.74564,8914.441226
1989,12097.74879,10394.539
1990,13485.63145,11861.75616
1991,15465.92453,14502.37999
1992,17976.46886,16136.24054
1993,20395.56219,18290.13011
1994,22502.53024,21552.41004
1995,23497.39208,24914.8507
1996,24818.30216,26232.8661
1997,27330.09336,26375.86537
1998,25808.86099,21829.27378
1999,25091.6666,21796.63739
2000,25756.77287,23852.83895
2001,25230.37809,21699.74149
2002,24665.83623,22159.83737
2003,23977.17341,23730.38401
2004,24928.10037,27608.08001
2005,26649.63772,29961.31728
2006,28224.09516,33768.45282
2007,30593.95117,39432.88602
2008,31515.52921,40008.57205
2009,30697.53839,38926.80544
2010,32550.13649,47236.68308
2011,35142.48793,53891.45703
2012,36730.7962,55547.55531
2013,38403.77771,56967.42579
2014,40315.37395,57564.80231
2015,42432.16197,55645.60686
2016,43734.19807,56895.65831
2017,46160.42979,61164.89736
2018,48537.56689,66836.522
