Data Series,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
Total,11175.89,10405.18,9690.45,9198.76,9002.13,9136.46,9207.58,8307.22,7393.51,7074.25,7271.73,6308.04,6009.08,7113.54,6326.2,4998.45,4569.41,4041.47,3396.9,3368.34,3232.68,3009.52,2656.3
  Agricultural & Food Sciences,390.76,349.44,357.2,364.53,278.06,280.78,267.61,262.93,210.32,199.95,155.14,108.49,92.9,95.06,70.07,58.28,52.2,45.13,33.98,29.21,47.25,29.67,26.13
  Engineering & Technology,6936.97,6561.65,6037.96,5703.06,5610.54,5581.76,5745.31,4843.43,4451.9,4336.31,4564.12,3848.6,3720.36,4872.38,4166.47,2917.09,2628.26,2524.74,1993.01,1936.98,1663.06,1543.82,1263.48
  Biomedical & Related Sciences,2351.98,2055.39,1872.19,1685.72,1710.97,1779.36,1762.31,1577.95,1367.58,1403.59,1357.75,1361.65,1259.13,1062.53,1057.61,1068.04,853.41,738.89,497.28,447.11,297.74,145.45,113.68
  Natural Sciences (Excl Biological Sciences),1233.57,1158.6,1142.01,901.77,822.24,912.6,1027.45,1093.85,918.37,830.75,853.83,730.95,649.11,584.45,587.01,490.56,471.33,457.31,477.84,561.54,688.24,874.45,807.9
  Energy & Others,262.61,280.1,281.09,543.67,580.32,581.97,404.9,529.05,445.34,303.63,340.88,258.35,287.59,499.13,445.04,464.48,564.21,275.4,394.8,393.5,536.39,416.14,445.11
Private Sector,7088.19,6602.89,5916.67,5484.22,5325.15,5295.59,5469.39,4989.14,4315.42,4238.01,4446.29,3761.11,3689.06,5105.45,4222.1,3281.74,3018.54,2569.56,2053.62,2055.01,2045.02,1866.05,1670.86
  Agricultural & Food Sciences,304.51,280.09,294.01,259.84,244.41,247.63,231.76,227.05,178.66,180.1,137.02,94.07,79.47,85.31,61.94,50.8,43.52,35.65,27.33,19.83,16.01,6.37,3.97
  Engineering & Technology,5111.01,4796.24,4280.46,4162.33,4158.24,3983.54,4074.15,3418.81,3161.9,3152.13,3347.67,2733.87,2701.76,3991.78,3219.43,2144.47,1959.47,1828.1,1255.11,1174.91,1026.06,983.24,896.14
  Biomedical & Related Sciences,861.97,739.3,586.56,470.33,441.03,501.84,540.88,523.54,430.97,502.09,516.43,543.22,508.04,393.07,387.48,510.65,298.53,232.74,169.21,141.41,82.48,42.02,34.22
  Natural Sciences (Excl Biological Sciences),729.25,686.97,663.97,476.34,371.52,452.93,523.79,597.78,386.44,361.91,363.39,359.49,320.23,296.35,303.55,242.32,263.59,229.23,239.65,346.03,467.69,532.09,502.75
  Energy & Others,81.45,100.29,91.66,115.37,109.95,109.66,98.81,221.97,157.46,41.79,81.78,30.46,79.56,338.94,249.69,333.5,453.43,243.84,362.32,372.83,452.79,302.32,233.78
Institutes Of Higher Learning,1486.08,1461.61,1598.54,1654.83,1663.5,1656.06,1583.42,1356.58,1319.37,1199.42,1091.55,973.65,855.97,709.77,602.99,575.67,477.99,424.71,457.5,430.01,366.98,338.27,309.97
  Agricultural & Food Sciences,46.25,38.61,38.21,85.97,15.95,15.81,15.62,13.01,7.41,7.95,2.08,1.29,2.37,2.1,0.86,0.93,1.01,4.07,1.79,1.54,4.75,1.09,1.17
  Engineering & Technology,463.95,450.7,542.72,494.96,496.9,512.48,534.65,474.36,479.19,420.22,341.88,381.51,338.13,280.13,232.12,230.11,190.28,191.34,239.48,231.73,178.88,166.39,154.76
  Biomedical & Related Sciences,529.46,509.35,502.37,495.6,512.61,520.94,482.37,366.08,333.56,310.73,287.99,250.89,227.24,200.12,172.1,161.7,131.86,111.51,94.43,96.54,80.31,56.45,46.79
