Data Series,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981
Contracts Awarded - Total Public & Private Sector,33796.9,29786.4,29934.4,21044.8,33523.8,30535.2,24798.5,26403.8,27034,38757.1,35803.6,30761.4,35487.9,27564.6,22518.4,35684.1,24459.9,16796.7,11456.2,10287.4,10018.4,14486.6,14301.6,20162.8,13096.1,16636.7,24399.6,20290.5,17287.4,12227,10586.6,12832.2,7873.5,8034.3,5500.6,3390.7,4040.2,3897.7,4836.4,6962.6,9610,9222.5,6639
  Building Work,26511.5,19566.8,20324.3,15550.6,24507.2,21071.5,15452.6,17429.5,21560.2,28854.4,28862.7,25951.1,28746.6,24541.2,13499.1,27065.9,21453.8,14877.9,9762.5,7503.9,8691.6,11082.3,10915.4,11395.4,10778.4,12926.3,19863.3,16257.1,14135.4,11234.5,8688.7,11037.6,6597.2,6838.8,4296.5,2709.9,2903.6,2273.2,2871.8,4682.4,7983.6,8437.1,5711.8
    Residential,13019,9189.2,9225.5,5438.8,8570.2,9019.2,6249.9,6479,7770.1,11290.5,15963.2,11845.9,15298.1,11487,6733.9,11073.6,7361,5298.4,3724,3863.5,2994,3611.8,3931,4749.6,4938.7,5318.9,11309.4,7497.3,7974.1,6124.1,4638.1,5171.7,2685,2695.3,1737,1585.9,1638.8,1492.4,1672.6,2721,3876.8,3942.7,2912.3
    Commercial,3421,1645.2,2759.4,1623.8,1844.9,1457.6,1859.2,2961.9,2183.5,3822.8,3727.5,2989.6,4209.6,3236.8,1649.8,8455.5,5230.3,2372.7,1009,1128,536.1,1249.8,494.5,826.6,882.2,2482.6,2222.1,2320.4,1460.2,1637.4,1264.4,3476.2,1774.1,2050.2,967.4,256.2,145.5,105.1,223.9,513,2377.8,2941.8,1180.3
    Industrial,4621,4437.9,4988,4704.5,7505.9,4807.8,4177.2,3676.2,5778.5,6627.8,5490.3,6418.4,6220.9,4789.7,2040.5,3741.1,6967.5,5510.6,3119.1,1046.8,2046.2,2441.8,3329.6,3278.6,2650.2,2980,3967.9,4094.3,2700,1945,1433.8,1541.8,1220.9,1004.2,893.1,410.7,540.9,135.4,160.9,455.1,699.7,966.9,835.1
    Institutional & Others,5450.5,4294.6,3351.4,3783.5,6586.3,5786.9,3166.2,4312.4,5828.1,7113.4,3681.7,4697.2,3018,5027.6,3074.9,3795.6,1895,1696.1,1910.4,1465.7,3115.4,3778.9,3160.2,2540.7,2307.2,2144.9,2363.9,2345.1,2001.1,1528.1,1352.4,847.9,917.1,1089.1,699.1,457.2,578.4,540.3,814.3,993.3,1029.3,585.7,784.1
  Civil Engineering Work,7285.5,10219.6,9610.2,5494.2,9016.7,9463.7,9345.9,8974.3,5473.8,9902.7,6940.9,4810.3,6741.3,3023.4,9019.3,8618.2,3006.1,1918.8,1693.7,2783.5,1326.8,3404.3,3386.3,8767.4,2317.7,3710.4,4536.3,4033.4,3151.9,992.5,1897.9,1794.6,1276.3,1195.6,1204.1,680.8,1136.6,1624.5,1964.6,2280.2,1626.4,785.4,927.2
Contracts Awarded - Public Sector,19511,17303.8,17841.4,12171.6,19026.4,18296.2,15835,15393.3,13252.9,19219.8,14888.4,9524.8,15279.7,8546.5,13896.2,15481.5,5699.9,3742.5,3984.8,4574.6,5370.5,9642.3,7331.9,12108.4,6444.6,10663.7,11729.8,10637,9036.1,5578.6,6210.7,6061.4,3854,3696.8,2810.7,1804.2,2775.7,3512.6,4152.4,5469.1,5459,4683.5,3829.6
  Building Work,13021,8715.6,8684,7488.2,11278.2,9074,7546.7,7888.8,9441.1,10753.4,9374.4,7402.2,9146.3,6357.3,5668.4,7761.9,3597.4,2607.5,3011.5,2560.8,4210.7,6415.3,4177.5,3846.4,4866.1,7203.6,7322.7,6872.2,6242.7,4725.1,4376.9,4345.9,2592.5,2563.5,1641.4,1260.1,1648.2,1892.3,2187.9,3188.8,3832.6,3898.1,2902.4
    Residential,7617.9,5328.2,5337.2,2625.8,3593.4,3842.2,3242.5,3255.7,3811.1,4819.4,6378.2,3334.2,6231.7,2806.9,2808.6,4676.9,1809.8,1163.4,1134.8,1277.1,1083.6,1069.8,956.4,1610,2824,3294.9,4459.3,3811.1,4040.4,2997.5,2826.6,3203.9,1538,1454.3,895.1,773.1,1065.8,1337.9,1318.9,2094.1,2571.7,2376.2,1689.8
    Commercial,45.1,108,65,365.1,57.1,93.3,126.1,99.2,297.7,119.6,64.4,101.6,51.1,177.6,73.1,143.7,104.6,67.8,106.8,80.3,131.4,252.9,74.6,158.8,119.4,1471.5,788.4,318.4,103.6,169.3,265.3,239.1,59.4,119.6,64.3,33.3,56.2,54.5,102.9,126.7,146.8,645.8,279.8
    Industrial,543.9,350.9,933,2016.7,2668.5,779.3,1672.9,838.9,1244.7,590.9,312.2,307.6,483.2,1072.7,209.3,61.7,192,136.5,370.8,62.9,617,1724.7,514.2,142,192.2,609.8,322.1,755.4,422.7,341.4,228.8,195.7,196.5,237.5,164.5,72.2,37,11.4,8.5,41.9,156.9,342.2,252.1
    Institutional & Others,4814.2,2928.5,2348.8,2480.7,4959.1,4359.1,2505.1,3695,4087.6,5223.5,2619.6,3658.7,2380.3,2300.2,2577.4,2879.6,1491.1,1239.8,1399.1,1140.5,2378.8,3367.8,2632.4,1935.7,1730.6,1827.3,1752.9,1987.4,1676,1216.9,1056.2,707.1,798.6,752.1,517.5,381.6,489.1,488.6,757.6,926.1,957.2,533.9,680.7
  Civil Engineering Work,6490,8588.3,9157.4,4683.4,7748.2,9222.2,8288.3,7504.5,3811.7,8466.4,5514,2122.6,6133.4,2189.2,8227.8,7719.6,2102.5,1134.9,973.3,2013.8,1159.8,3227,3154.5,8262,1578.5,3460.1,4407.1,3764.8,2793.4,853.4,1833.9,1715.5,1261.4,1133.2,1169.3,544.1,1127.5,1620.3,1964.6,2280.2,1626.4,785.4,927.2
Contracts Awarded - Private Sector,14285.9,12482.5,12093.1,8873.2,14497.5,12239,8963.5,11010.5,13781.2,19537.4,20915.2,21236.7,20208.2,19018.1,8622.2,20202.6,18760,13054.2,7471.4,5712.8,4647.9,4844.3,6969.7,8054.4,6651.5,5973,12669.8,9653.5,8251.3,6648.5,4375.8,6770.8,4019.5,4337.5,2689.9,1586.5,1264.5,385.1,683.9,1493.5,4151,4539,2809.4
  Building Work,13490.4,10851.2,11640.3,8062.4,13229,11997.5,7905.9,9540.8,12119.1,18101.1,19488.3,18548.9,19600.3,18183.9,7830.7,19304,17856.4,12270.3,6751,4943.1,4480.9,4667,6737.9,7549,5912.3,5722.8,12540.6,9384.9,7892.7,6509.4,4311.8,6691.7,4004.6,4275.2,2655.1,1449.8,1255.4,380.9,683.9,1493.5,4151,4539,2809.4
    Residential,5401.1,3861,3888.3,2813,4976.7,5177,3007.4,3223.4,3959.1,6471.1,9585,8511.7,9066.3,8680.2,3925.3,6396.7,5551.2,4135,2589.2,2586.4,1910.3,2542,2974.6,3139.6,2114.7,2024,6850,3686.3,3933.8,3126.6,1811.5,1967.8,1147,1241,841.9,812.9,573,154.6,353.7,626.9,1305.1,1566.5,1222.5
