Year,,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022 r,2023 r,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024
GDP at current market prices,HK$ million,7455,8687,10427,11888,13953,14282,15475,16533,19437,23106,26681,32213,41327,47240,49589,63156,73284,85782,112691,143619,173578,196005,217281,261992,278128,320525,394770,466076,536558,599256,691323,807130,931010,1049610,1119006,1235301,1373083,1308074,1285946,1337501,1321142,1297341,1256669,1316949,1412125,1503351,1650756,1707487,1659245,1776332,1934430,2037059,2138305,2260005,2398280,2490598,2659611,2835429,2845022,2675793,2867973,2808981,2981601,9697,9586,10979,11064,11664,11371,12412,11794,11914,11831,13010,12833,14890,14721,16650,16896,17492,17111,19151,19529,20310,20643,21683,23146,24852,26794,29375,31669,31753,34829,38021,39017,39376,41166,44885,48150,45698,46641,51474,52192,48061,51113,56989,61119,58936,63922,69741,69393,67354,67087,71300,72386,70571,74616,85058,90281,86263,91874,107442,109192,102429,109030,124467,130151,120455,128238,141935,145931,133562,143368,159114,163214,152222,164347,184188,190566,180376,193045,214123,219585,209714,223021,246164,252109,241043,254157,273827,280583,258819,271769,289442,298976,279132,298035,319919,338215,314111,340130,359487,359355,316887,326177,333161,331849,300174,315431,329289,341052,321039,325717,342978,347767,318843,322470,336906,342923,308313,315423,333309,340295,304457,293356,323046,335810,313811,317077,333880,352181,327783,338730,363813,381799,355347,357109,382405,408491,381839,386249,423798,458870,418762,409388,436152,443186,389033,396706,421283,452223,422783,412768,456830,483951,463467,456607,495500,518856,483654,473958,523740,555707,509631,492375,551059,585240,535907,526194,580793,617111,572160,565750,614251,646119,590572,585155,636400,678471,631450,628300,679453,720408,684576,673782,723381,753690,702601,688922,714029,739470,654083,627597,687240,706873,705090,678833,730502,753548,684813,674635,717540,731993,718904,703912,765849,792936,769724
GDP at current market prices,Year-on-year % change,N.A.,16.5,20,14,17.4,2.4,8.4,6.8,17.6,18.9,15.5,20.7,28.3,14.3,5,27.4,16,17.1,31.4,27.4,20.9,12.9,10.9,20.6,6.2,15.2,23.2,18.1,15.1,11.7,15.4,16.8,15.3,12.7,6.6,10.4,11.2,-4.7,-1.7,4,-1.2,-1.8,-3.1,4.8,7.2,6.5,9.8,3.4,-2.8,7.1,8.9,5.3,5,5.7,6.1,3.8,6.8,6.6,0.3,-5.9,7.2,-2.1,6.1,N.A.,N.A.,N.A.,N.A.,20.3,18.6,13.1,6.6,2.1,4,4.8,8.8,25,24.4,28,31.7,17.5,16.2,15,15.6,16.1,20.6,13.2,18.5,22.4,29.8,35.5,36.8,27.8,30,29.4,23.2,24,18.2,18.1,23.4,16.1,13.3,14.7,8.4,5.2,9.6,10.7,17.1,22.6,25.1,22.4,13.5,14.3,5,2.2,4.3,4.8,11.2,19.3,24.7,22.2,23.1,26.3,20.9,18.7,18.7,15.8,19.2,17.6,17.6,14,12.1,10.9,11.8,12.1,11.8,14,14.6,15.8,16.8,18.5,17.4,16.2,15.2,16.3,15.5,15,14.8,14.9,14,11.2,11.3,7.4,6.9,5.7,6.6,7.8,9.7,10.5,13.1,12.5,14.1,12.4,6.3,0.9,-4.1,-7.3,-7.7,-5.3,-3.3,-1.2,2.8,7,3.3,4.2,2,-0.7,-1,-1.8,-1.4,-3.3,-2.2,-1.1,-0.8,-1.3,-7,-3.1,-1.3,3.1,8.1,3.4,4.9,4.5,6.8,9,8.4,8.4,5.4,5.1,7,7.5,8.2,10.8,12.3,9.7,6,2.9,-3.4,-7.1,-3.1,-3.4,2,8.7,4,8.4,7,9.6,10.6,8.5,7.2,4.4,3.8,5.7,7.1,5.4,3.9,5.2,5.3,5.2,6.9,5.4,5.4,6.8,7.5,5.8,4.7,3.2,3.4,3.6,5,6.9,7.4,6.8,6.2,8.4,7.2,6.5,4.6,2.6,2.2,-1.3,-1.9,-6.9,-8.9,-3.8,-4.4,7.8,8.2,6.3,6.6,-2.9,-0.6,-1.8,-2.9,5,4.3,6.7,8.3,7.1
Per capita GDP at current market prices,HK$,2353,2628,3048,3392,3878,3935,4157,4348,5030,5836,6596,7812,9743,10791,11115,13979,15988,18379,22860,28366,33487,37231,40651,48536,50975,58018,70741,82820,94361,105050,120188,139148,157772,173909,181772,191951,211592,199898,194649,200675,196765,192367,186704,194140,207263,219240,238676,245406,237960,252887,273549,284899,297860,312609,328924,339476,359737,380462,378937,357679,386879,382377,395642,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Per capita GDP at current market prices,Year-on-year % change,N.A.,11.7,16,11.3,14.3,1.5,5.6,4.6,15.7,16,13,18.4,24.7,10.8,3,25.8,14.4,15,24.4,24.1,18.1,11.2,9.2,19.4,5,13.8,21.9,17.1,13.9,11.3,14.4,15.8,13.4,10.2,4.5,5.6,10.2,-5.5,-2.6,3.1,-1.9,-2.2,-2.9,4,6.8,5.8,8.9,2.8,-3,6.3,8.2,4.1,4.5,5,5.2,3.2,6,5.8,-0.4,-5.6,8.2,-1.2,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GDP in chained (2022) dollars (1),HK$ million,110725,126549,146498,159138,182439,185713,188691,195102,217233,237233,254534,281545,316118,323753,325346,377936,422252,457133,509963,561511,613511,631608,669359,736119,741692,823694,934057,1013559,1036637,1076346,1137719,1208655,1283605,1361083,1393391,1452728,1526814,1436997,1473018,1585901,1594796,1621217,1670766,1816123,1950301,2087458,2222409,2269700,2213885,2363714,2477520,2519645,2597792,2669554,2733297,2792758,2898774,2981300,2931441,2739585,2916409,2808981,2901018,77537,76875,82081,79398,82311,78857,85380,76638,78575,80552,85333,80715,92276,91112,97819,97262,102234,100624,110230,109179,113530,114585,114249,115143,122427,126044,129863,132106,130647,141055,146659,143509,144709,149885,155970,162956,153037,152128,161074,164991,153876,161683,173369,180268,173087,184719,192020,186305,183442,179992,187156,190804,184506,195212,218867,225132,208773,221660,252116,251508,229016,241517,270410,272616,244715,248634,271143,272145,246921,259703,284513,285209,261909,273444,299239,303127,278334,291620,319325,319376,296067,309364,338259,339915,319467,330306,353762,357548,331860,339985,358249,363297,340074,352380,375331,384943,359984,378729,398877,389224,350368,356069,365893,364667,339699,357660,380534,395125,375974,384179,408019,417729,383681,388408,408503,414204,381451,390335,418116,431315,396226,388137,434798,451605,427560,435203,464828,488532,454823,466982,503596,524900,495772,495491,535777,560418,524894,526071,571717,599727,561823,547136,577115,583626,518199,530307,567334,598045,559287,564133,604330,635964,601822,592906,628025,654767,606693,598757,639178,675017,627558,617169,658809,694256,646145,630757,680094,712558,661351,650252,695597,726097,668950,661997,711342,750469,698797,687602,736104,776271,730406,710635,755321,784938,732624,711171,731098,756548,664055,644151,701630,729749,718771,693012,740578,764048,690203,682951,704615,731212,709763,693816,734482,762957,728625
GDP in chained (2022) dollars (1),Year-on-year % change,N.A.,14.3,15.8,8.6,14.6,1.8,1.6,3.4,11.3,9.2,7.3,10.6,12.3,2.4,0.5,16.2,11.7,8.3,11.6,10.1,9.3,2.9,6,10,0.8,11.1,13.4,8.5,2.3,3.8,5.7,6.2,6.2,6,2.4,4.3,5.1,-5.9,2.5,7.7,0.6,1.7,3.1,8.7,7.4,7,6.5,2.1,-2.5,6.8,4.8,1.7,3.1,2.8,2.4,2.2,3.8,2.8,-1.7,-6.5,6.5,-3.7,3.3,N.A.,N.A.,N.A.,N.A.,6.2,2.6,4,-3.5,-4.5,2.1,-0.1,5.3,17.4,13.1,14.6,20.5,10.8,10.4,12.7,12.3,11,13.9,3.6,5.5,7.8,10,13.7,14.7,6.7,11.9,12.9,8.6,10.8,6.3,6.3,13.6,5.8,1.5,3.3,1.2,0.5,6.3,7.6,9.3,12.5,14.2,10.8,3.3,6,-2.6,-2.5,2.4,0.6,8.5,16.9,18,13.2,13.5,15.2,11.7,9.7,9,7.3,8.4,6.9,2.9,0.3,-0.2,0.9,4.5,4.9,4.8,6.1,5.3,5.2,6.3,6.3,6.6,6.7,5.4,6.4,6.1,5.9,6.4,7.9,6.8,4.6,5.2,3.9,2.9,1.3,1.6,2.5,3.6,4.8,6,5.9,7.5,6.3,1.1,-2.7,-6,-8.3,-6.3,-3,0.4,4,8.4,10.7,7.4,7.2,5.7,2,1.1,0.1,-0.8,-0.6,0.5,2.4,4.1,3.9,-0.6,4,4.7,7.9,12.1,6.9,8.2,6.4,7.3,8.3,7.4,9,6.1,6.4,6.8,5.9,6.2,6.7,7,7,4,0.9,-2.7,-7.8,-3.1,-1.7,2.5,7.9,6.4,6.5,6.3,7.6,5.1,3.9,3,0.8,1,1.8,3.1,3.4,3.1,3.1,2.9,3,2.2,3.2,2.6,2.4,3.1,2.3,1.9,1.1,1.8,2.3,3.4,4.5,3.9,3.5,3.4,4.5,3.3,2.6,1.1,0.3,0.1,-3.2,-3.6,-9.4,-9.4,-4,-3.5,8.2,7.6,5.6,4.7,-4,-1.5,-4.9,-4.3,2.8,1.6,4.2,4.3,2.7
Per capita GDP in chained (2022) dollars (1),HK$,34950,38288,42824,45408,50707,51162,50685,51306,56221,59922,62921,68277,74528,73953,72921,83651,92120,97940,103447,110903,118361,119975,125229,136371,135936,149096,167379,180105,182308,188684,197795,208371,217523,225517,226343,225737,235282,219600,222965,237945,237522,240390,248227,267727,286253,304423,321329,326209,317503,336510,350348,352393,361865,369258,374871,380661,392087,400035,390448,366206,393413,382377,384950,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Per capita GDP in chained (2022) dollars (1),Year-on-year % change,N.A.,9.6,11.8,6,11.7,0.9,-0.9,1.2,9.6,6.6,5,8.5,9.2,-0.8,-1.4,14.7,10.1,6.3,5.6,7.2,6.7,1.4,4.4,8.9,-0.3,9.7,12.3,7.6,1.2,3.5,4.8,5.3,4.4,3.7,0.4,-0.3,4.2,-6.7,1.5,6.7,-0.2,1.2,3.3,7.9,6.9,6.3,5.6,1.5,-2.7,6,4.1,0.6,2.7,2,1.5,1.5,3,2,-2.4,-6.2,7.4,-2.8,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Seasonally adjusted GDP in chained (2022) dollars (1),Quarter-to-quarter % change,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1.2,2.1,1.1,1,1.6,1.3,1.4,2.1,1.1,1.7,1.8,0.9,1.4,1.7,2.3,1.1,2.2,0.8,0.8,1.3,0.7,-0.2,-0.2,1.3,1.6,0.7,1.3,2.3,1.5,1.9,0.5,-2.7,-2.4,-1.7,-1.6,-0.9,1,2.2,2,2.8,3,0.1,1.2,0.7,-0.3,-0.1,-0.1,-0.6,0.1,1.5,1.6,0.7,-0.1,-2.4,6.1,1.1,2.9,1.8,1.1,2,1.1,3.1,1.9,1.2,2.2,1,1.8,1.6,1.4,1.6,1.9,1.8,1.4,-1.2,-1.1,-2,-3.4,3.6,0.5,2,1.9,1.7,0.9,1.6,2.7,-0.4,0.2,0.5,0.2,0.6,0.8,1.1,0.8,0.4,0.6,0.9,0.9,-0.2,1.5,0.4,0.6,0.6,0.5,0.1,-0.3,1.5,1.1,1.1,0.6,0.9,0.8,1.1,1.4,-0.1,0.2,-0.3,0.7,-0.6,-3.3,-0.4,-4.8,-1.3,2.6,0.3,6.6,-2.1,0.7,-0.2,-3.1,1.2,-2.4,0.0 [φ3],4.1,0.0 [φ3],0.2,0.2,2.3
