 , ,In nominal terms,In nominal terms,In real terms (1),In real terms (1)
,,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change
Year,Quarter,,,,
2000,,122071,-3.5,114691,-4.5
2001,,113986,-6.6,111385,-2.9
2002,,106000,-7,108677,-2.4
2003,,99032,-6.6,106274,-2.2
2004,,93171,-5.9,100615,-5.3
2005,,90851,-2.5,98275,-2.3
2006,,90230,-0.7,96269,-2
2007,,92866,2.9,96844,0.6
2008,,99599,7.3,97024,0.2
2009,,100944,1.4,93683,-3.4
2010,,111274,10.2,100278,7
2011,,128535,15.5,108263,8
2012,,161449,25.6,126414,16.8
2013,,176575,9.4,129868,2.7
2014,,199737,13.1,138285,6.5
2015,,223947,12.1,146978,6.3
2016,,236491,5.6,149973,2
2017,,249919,5.7,148942,-0.7
2018,,252176,0.9,143136,-3.9
2019,,236438,-6.2,131111,-8.4
2020,,229870,-2.8,127147,-3
2021,,233722,1.7,126606,-0.4
2022,,249109,6.6,132588,4.7
2023 r,,270903,8.7,145709,9.9
