 ,Gross domestic expenditure on R&D (1),Gross domestic expenditure on R&D (1),Gross domestic expenditure on R&D (1),Gross domestic expenditure on R&D (1),Gross domestic expenditure on R&D (1),Gross domestic expenditure on R&D (1),Gross domestic expenditure on R&D (1),Gross domestic expenditure on R&D (1),Gross domestic expenditure on R&D (1),Gross domestic expenditure on R&D (1),Gross domestic expenditure on R&D (1),Gross domestic expenditure on R&D (1),Ratio of gross domestic expenditure on R&D to GDP (2),Ratio of gross domestic expenditure on R&D to GDP (2),Ratio of gross domestic expenditure on R&D to GDP (2),Ratio of gross domestic expenditure on R&D to GDP (2)
,HK$ million,HK$ million,HK$ million,HK$ million,Percentage share (%),Percentage share (%),Percentage share (%),Percentage share (%),Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,%,%,%,%
Sector,Business sector,Higher education sector,Government sector,Total,Business sector,Higher education sector,Government sector,Total,Business sector,Higher education sector,Government sector,Total,Business sector,Higher education sector,Government sector,Total
Year,,,,,,,,,,,,,,,,
1998,1598.6,3912.3,91.6,5602.5,28.5,69.8,1.6,100,N.A.,N.A.,N.A.,N.A.,0.12,0.3,0.01,0.43
1999,1407.7,4316.9,160.8,5885.4,23.9,73.3,2.7,100,-11.9,10.3,75.6,5.1,0.11,0.34,0.01,0.46
2000,1117.5,4989.2,111.8,6218.4,18,80.2,1.8,100,-,-,-,-,0.08,0.37,0.01,0.46
2001,2082.9,4846.6,157.8,7087.3,29.4,68.4,2.2,100,86.4,-2.9,41.2,14,0.16,0.37,0.01,0.54
2002,2505.8,4800.7,237.1,7543.6,33.2,63.6,3.1,100,20.3,-0.9,50.3,6.4,0.19,0.37,0.02,0.58
2003,3545.1,4796.2,207.5,8548.8,41.5,56.1,2.4,100,41.5,-0.1,-12.5,13.3,0.28,0.38,0.02,0.68
2004,4590.3,4707.3,207.6,9505.2,48.3,49.5,2.2,100,29.5,-1.9,[§3],11.2,0.35,0.36,0.02,0.72
2005,5621.6,5085,215.2,10921.8,51.5,46.6,2,100,22.5,8,3.7,14.9,0.4,0.36,0.02,0.77
2006,6287.4,5410.9,248.6,11946.9,52.6,45.3,2.1,100,11.8,6.4,15.5,9.4,0.42,0.36,0.02,0.79
2007,6054.6,6056.9,295.8,12407.3,48.8,48.8,2.4,100,-3.7,11.9,19,3.9,0.37,0.37,0.02,0.75
2008,5264.5,6650,378.7,12293.2,42.8,54.1,3.1,100,-13,9.8,28,-0.9,0.31,0.39,0.02,0.72
2009,5473.8,6835.1,524.1,12833,42.7,53.3,4.1,100,4,2.8,38.4,4.4,0.33,0.41,0.03,0.77
2010,5767.5,6948.3,597.1,13312.9,43.3,52.2,4.5,100,5.4,1.7,13.9,3.7,0.32,0.39,0.03,0.75
2011,6193.5,7154.9,596.2,13944.6,44.4,51.3,4.3,100,7.4,3,-0.2,4.7,0.32,0.37,0.03,0.72
2012,6647.4,7576.3,592.5,14816.2,44.9,51.1,4,100,7.3,5.9,-0.6,6.3,0.33,0.37,0.03,0.73
2013,7017.4,7984.2,611.6,15613.3,44.9,51.1,3.9,100,5.6,5.4,3.2,5.4,0.33,0.37,0.03,0.73
2014,7437.5,8631.8,658,16727.3,44.5,51.6,3.9,100,6,8.1,7.6,7.1,0.33,0.38,0.03,0.74
2015,7993.7,9550.8,726.2,18270.7,43.8,52.3,4,100,7.5,10.6,10.4,9.2,0.33,0.4,0.03,0.76
2016,8528.1,10270.9,914.1,19713.1,43.3,52.1,4.6,100,6.7,7.5,25.9,7.9,0.34,0.41,0.04,0.79
2017,9412.3,10837.1,1031,21280.4,44.2,50.9,4.8,100,10.4,5.5,12.8,8,0.35,0.41,0.04,0.8
2018,10992.5,12337.9,1148,24478.4,44.9,50.4,4.7,100,-,-,-,-,0.39,0.44,0.04,0.86
2019,11616.5,13432.4,1283.8,26332.6,44.1,51,4.9,100,5.7,8.9,11.8,7.6,0.41,0.47,0.05,0.93
2020,11043.9,14129.3,1380.4,26553.6,41.6,53.2,5.2,100,-4.9,5.2,7.5,0.8,0.41,0.53,0.05,0.99
2021,11699.3,14735.2,1392.3,27826.9,42,53,5,100,5.9,4.3,0.9,4.8,0.41 @,0.51 @,0.05 @,0.97 @
2022,12370.7,16355.5,1412.2,30138.4,41,54.3,4.7,100,5.7,11,1.4,8.3,0.44 @,0.58 @,0.05 @,1.07 @
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
